,Feature,Customer ID,Age,Occupation,Region Type,Marriage Status,Has Children,Income,Number of Handsets,Handset Age,Has Smart Phone,Current Handset Price,Credit Rating,Is Homeowner,Credit Card On Account,Average Bill Cost,Average Minutes Used,Average Recurring Charge,Average Over Bundle Mins,Average No. Roaming Calls,Call Mins Change %,Bill Amount Change %,Average Received Minutes,Average No. Outgoing Calls,Average No. Incoming Calls,Peak:OffPeak,Peak:OffPeak Change %,Average No. Dropped Calls,Lifetime (months customer),No. Customer Care Calls Last Month,Number of Retention Calls,No. Retention Offers Accepted,No. New Frequent Numbers,Churn (Customer Left)
10,10,1042712,58.0,unknown,unknown,no,True,7,1,460,True,,E, false,True,33.26,267.5,14.52,40.0,0.0,-5.35,-0.6652,15.33,9.0,0.0,1.3665,-3.590747776,4.67,15,0.67,,,0, false
11,11,1003081,38.0,unknown,suburban,no,False,9,2,380,True,29.99,A, false,True,51.35,291.0,29.99,0.0,3.16,0.16,0.0232,38.15,9.0,0.67,2.7769149310000003,-4.411495555,7.67,42,0.0,,,0, false
12,12,1054954,,unknown,unknown,unknown,False,1,2,182,True,59.99,D, true,False,34.39,366.5,34.39,0.0,0.0,2.09,0.11199999999999999,79.33,8.67,0.67,1.129369225,3.436159637,2.67,16,0.67,,,0, false
13,13,1075715,26.0,unknown,unknown,no,False,5,1,288,True,,C, false,True,59.53,425.25,49.99,16.75,0.52,1.155,-0.1108,125.35,9.67,2.67,1.07963897,-22.63691945,10.33,9,0.0,,,0, true
14,14,1082107,42.0,professional,suburban,unknown,True,10,1,311,True,,B, false,True,48.56,258.75,44.99,35.75,1.06,5.485,0.8014,43.79,3.0,0.0,2.91448628,-17.08016714,3.67,11,0.0,,,0, true
15,15,1098775,22.0,unknown,suburban,no,False,8,1,1060,True,,G, false,True,58.06,474.75,30.0,78.75,0.0,-1.115,-0.5262,115.86,42.0,16.33,1.060636364,-2.99296177,6.33,35,0.0,1.0,,0, false
16,16,1074500,42.0,unknown,suburban,yes,False,5,2,215,True,79.99,B, false,False,61.42,82.5,59.99,4.75,0.0,-0.13,0.0854,0.42,23.33,0.67,1.6427423669999999,-8.786890758,1.0,12,0.0,,,0, false
17,17,1028485,46.0,professional,unknown,no,False,3,4,118,True,9.99,C, false,True,33.01,249.5,33.71,0.0,0.0,-0.79,-0.0404,3.51,6.33,0.33,0.680410959,3.670368257,8.67,19,5.0,1.0,,0, true
18,18,1018554,26.0,unknown,unknown,no,False,6,2,349,True,29.99,A, false,True,44.07,99.75,27.32,0.0,16.44,-0.655,-0.2774,8.9,4.0,1.67,10.77844311,8.788531357,1.33,23,0.0,,,0, true
19,19,1040707,,unknown,unknown,unknown,False,1,2,411,True,149.99,C, true,False,10.0,0.0,10.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-15.57588206,0.0,22,0.0,,,0, true
20,20,1033121,50.0,unknown,suburban,yes,False,10,1,731,True,,A, false,True,55.17,193.75,42.49,48.75,0.5,5.785,0.7609999999999999,11.87,13.0,1.67,1.2933264359999999,3.16451584,0.33,25,0.67,,,0, true
21,21,1094948,36.0,unknown,unknown,unknown,True,4,1,195,True,,C, false,False,131.14,761.25,44.99,235.5,0.71,-7.425,-1.9032,255.72,71.0,20.67,1.436018491,-3.0397103860000003,8.33,7,0.0,,,0, false
22,22,1025827,48.0,professional,suburban,no,True,8,3,130,True,9.99,C, false,True,54.53,499.5,44.99,38.0,0.0,-0.41,-0.266,82.52,29.67,14.0,0.8062744270000001,12.02808868,8.33,26,0.0,,,3, false
23,23,1023986,34.0,unknown,unknown,unknown,False,10,7,102,True,129.99,B, true,False,46.99,839.5,49.99,15.75,0.0,-9.35,-0.10400000000000001,234.54,41.0,4.33,0.8975221959999999,-10.31402112,11.33,27,22.0,,,0, false
24,24,1029483,32.0,unknown,unknown,unknown,False,8,3,71,True,29.99,G, false,True,36.29,269.25,30.0,9.0,1.66,-0.205,-0.1258,39.37,30.33,0.0,1.0,16.57528601,18.0,21,0.33,,,0, true
25,25,1047730,46.0,unknown,suburban,unknown,False,9,2,263,True,149.99,B, true,False,116.53,1458.75,84.99,69.25,0.0,-7.315,-0.3118,470.85,42.67,12.33,0.931317568,-8.780781498,36.0,14,0.0,,,0, true
26,26,1021410,34.0,unknown,suburban,unknown,False,8,1,830,True,,C, true,True,220.55,1522.75,62.7,413.5,0.0,-1.875,-1.6946,329.9,88.0,17.0,3.710648377,-10.37281774,70.33,28,0.67,,,0, false
27,27,1053535,58.0,unknown,unknown,unknown,False,7,1,361,True,,B, false,True,30.26,112.5,39.99,0.0,0.0,0.55,-0.0054,0.49,1.0,0.0,4.055292259,-9.8241264,1.33,12,0.67,,,0, false
28,28,1008901,36.0,clerical,suburban,unknown,False,7,3,645,False,29.99,C, false,True,30.0,170.25,30.0,0.0,0.0,2.215,,0.0,0.33,0.0,2.592087312,-24.86714482,1.0,32,0.0,,,0, true
29,29,1074297,36.0,professional,unknown,no,False,4,1,233,True,,B, false,True,35.55,286.0,44.99,0.0,0.0,0.74,0.0086,0.0,0.0,0.0,0.0,-2.579869112,0.0,8,0.0,,,0, false
30,30,1075370,,unknown,unknown,unknown,False,1,1,290,True,,C, true,False,71.07,1825.75,48.83,77.75,0.0,-16.875,-0.5416,737.34,19.0,9.33,0.5034375,-14.66471093,17.0,10,6.67,,,0, false
31,31,1079442,,unknown,unknown,no,False,8,1,273,True,,B, false,True,45.65,1386.25,69.87,0.0,0.0,-10.465,0.2868,716.59,94.0,46.33,0.529515864,5.044198139,15.0,9,0.67,1.0,1.0,0, false
32,32,1066353,,unknown,suburban,unknown,False,1,2,82,True,149.99,C, true,False,64.39,1397.5,69.99,34.75,0.0,-1.89,0.316,524.31,67.33,27.67,0.760630522,10.19963564,7.33,15,8.33,,,0, true
33,33,1077394,44.0,unknown,town,no,False,7,1,327,True,,B, false,False,10.0,228.5,10.0,0.0,0.0,-0.03,,12.91,9.67,1.0,6.655880032000001,-2.557707031,10.0,11,0.0,,,0, true
34,34,1038870,,unknown,unknown,unknown,False,1,2,15,True,59.99,B, true,False,50.24,1112.75,59.99,0.0,0.0,3.045,0.0148,238.72,44.0,4.0,0.522872309,-14.80253715,14.0,20,2.0,1.0,,0, false
35,35,1002476,26.0,unknown,unknown,no,False,7,1,1164,True,,A, false,True,54.33,323.25,49.99,12.75,0.0,-1.845,-0.0868,37.11,26.0,5.0,1.045862069,9.072555073,11.33,38,0.0,,,0, true
36,36,1066860,,unknown,rural,unknown,False,1,2,26,True,9.99,B, true,False,30.43,152.0,39.99,0.5,0.0,1.94,0.0068,12.95,13.0,2.0,2.0329562219999997,2.2625224630000003,8.33,13,0.33,,,0, false
37,37,1031056,48.0,crafts,unknown,yes,False,7,1,631,True,,B, false,True,78.04,490.75,30.0,137.25,0.0,-1.975,-0.7298,158.62,4.0,0.0,22.7695078,-8.605039097,17.33,21,0.33,,,0, false
38,38,1023867,40.0,professional,suburban,no,False,8,1,628,True,,B, false,True,91.75,285.0,29.99,169.5,0.17,3.84,1.1402,17.16,9.67,0.0,6.370101597000001,-9.487002962,2.0,21,0.0,,,0, true
39,39,1076462,,unknown,unknown,unknown,False,1,2,35,True,39.99,C, true,False,37.44,38.0,48.33,0.0,0.0,1.08,0.131,1.88,1.33,0.0,0.586349535,-6.370563743,1.0,7,1.33,,,0, false
40,40,1074911,66.0,professional,suburban,yes,False,7,1,338,True,,D, false,True,34.6,211.0,39.99,8.75,0.0,-4.22,-0.0922,53.63,5.33,1.67,1.23914017,8.096961986,14.0,12,0.0,,,0, true
41,41,1007826,30.0,unknown,town,unknown,True,7,1,1096,False,,A, false,True,35.79,224.5,30.0,14.0,0.0,0.63,-0.1098,130.11,1.0,1.0,1.8466483009999999,-15.12446843,0.67,37,0.0,,,3, true
42,42,1062169,,unknown,unknown,unknown,False,1,1,477,True,,E, true,False,64.52,677.75,59.99,13.0,0.93,5.485,0.13,120.85,25.33,1.67,4.2318373419999995,4.899467216000001,7.33,16,0.0,,,0, true
43,43,1053571,,unknown,suburban,unknown,False,1,2,270,True,149.99,D, true,False,161.55,1939.0,67.62,253.5,0.0,-13.46,-1.6464,809.12,124.67,49.33,0.7602626259999999,23.62841938,42.33,18,3.0,,,0, false
44,44,1084284,26.0,unknown,unknown,no,False,7,1,198,True,,B, true,True,66.44,440.0,54.99,0.0,28.32,-7.26,-0.4134,9.17,5.0,0.0,1.537307837,-3.475987486,18.67,7,3.33,,,2, false
45,45,1056204,,unknown,rural,unknown,False,1,1,449,True,,C, true,False,89.13,147.25,29.83,51.75,2.19,-1.365,-0.7428,12.11,0.0,0.0,4.334,-1.5690238,5.33,15,0.0,1.0,1.0,0, true
46,46,1025168,36.0,professional,town,yes,False,7,4,41,True,199.99,B, false,True,90.81,786.5,94.99,0.0,0.1,7.63,-0.0166,55.55,42.33,9.33,1.183131773,-9.517786762,17.33,24,0.33,,,0, true
47,47,1020095,,unknown,suburban,unknown,False,1,1,742,True,,B, true,False,61.3,324.0,53.77,26.5,6.93,-4.38,-0.3954,40.61,8.0,0.33,2.1648170980000003,-3.303743213,12.33,24,1.67,,,0, false
48,48,1077357,36.0,homemaker,suburban,yes,True,7,1,281,True,,B, false,True,43.6,272.0,47.49,16.75,0.0,-0.74,-0.2722,12.91,2.33,0.0,7.349206349,3.8540657210000004,7.33,9,0.0,,,0, false
49,49,1028011,,unknown,unknown,unknown,False,1,1,691,False,,B, true,False,37.03,392.0,44.99,6.25,1.6,1.42,0.2272,58.9,7.67,4.33,1.314722222,-11.65799818,8.0,23,2.0,,,0, true
50,50,1040887,42.0,professional,town,yes,False,7,3,14,True,149.99,B, false,True,30.82,323.0,37.49,1.25,0.39,-0.8,-0.001,34.57,23.33,8.67,1.155448469,3.4087861680000002,4.0,20,2.33,,,0, false
51,51,1047848,,unknown,suburban,unknown,False,1,1,410,True,,D, true,False,73.96,942.25,59.99,83.25,0.0,-4.805,-0.5096,144.23,41.67,8.67,1.322486074,15.55093339,15.67,14,0.67,,,0, true
52,52,1095925,,unknown,town,unknown,False,4,1,232,True,,B, false,False,36.79,525.75,44.99,4.5,0.0,-2.715,-0.036000000000000004,86.2,9.0,0.33,0.9607843140000001,-0.221513548,7.67,8,24.0,,,0, false
53,53,1012750,,unknown,suburban,unknown,False,1,11,343,False,9.99,D, true,False,119.57,1222.0,99.99,75.0,0.59,-0.5,-0.3916,344.59,76.33,40.67,2.557471264,2.353066793,16.67,32,6.0,,,0, false
54,54,1098411,54.0,unknown,unknown,unknown,False,6,3,111,True,199.99,D, false,False,20.24,123.25,16.0,8.0,0.0,-0.425,-0.0278,0.0,0.0,0.0,0.0,0.6701620420000001,0.33,39,0.0,,,2, false
55,55,1098454,28.0,unknown,unknown,unknown,False,9,2,533,True,29.99,C, false,True,210.71,2421.25,151.24,206.0,0.17,-0.445,-0.9846,670.68,168.33,2.33,2.594816514,7.031799029,44.33,41,0.33,,,0, false
56,56,1066497,32.0,unknown,unknown,yes,False,5,2,197,True,129.99,E, false,True,72.04,815.0,39.99,100.5,0.91,2.66,0.7416,413.75,41.67,43.67,0.61427673,-8.544309052000001,5.0,9,0.0,,,0, false
57,57,1052160,,unknown,unknown,no,False,8,1,435,True,,B, false,True,106.69,510.75,99.99,0.0,0.0,0.625,-0.051,196.18,24.0,3.33,0.666666667,5.857865137999999,7.33,14,0.0,,,0, false
58,58,1042247,26.0,unknown,suburban,no,False,8,2,18,True,79.99,D, false,True,51.33,862.5,64.99,1.25,0.0,0.07,-0.0112,295.62,41.67,21.0,0.443354308,-3.831626435,18.33,15,4.0,,,3, false
59,59,1026883,22.0,unknown,unknown,no,False,7,1,702,False,,B, false,True,45.74,255.5,45.0,0.0,0.0,-1.91,-0.0148,72.57,29.67,13.67,4.558718861,-7.120334902000001,1.0,24,0.0,,,0, false
60,60,1058461,54.0,professional,suburban,yes,False,4,2,187,True,149.99,B, false,True,22.49,234.0,29.99,0.0,0.0,-0.54,-0.4498,42.74,13.67,3.33,1.702202362,7.4337632010000005,7.0,15,0.0,,,0, true
61,61,1006355,52.0,professional,unknown,yes,True,7,1,949,True,,A, false,True,36.27,150.0,30.0,17.25,0.0,-1.9,-0.1254,7.1,9.0,1.67,0.838965517,-17.61855775,3.33,31,0.0,,,2, true
62,62,1095436,,unknown,unknown,no,False,8,1,185,True,,B, false,False,35.19,535.0,44.99,0.5,0.0,-1.6,-0.004,158.63,59.0,35.33,0.7913669059999999,27.50619133,6.33,7,12.0,,,0, false
63,63,1039801,50.0,unknown,suburban,no,False,8,4,439,True,199.99,B, false,True,229.35,1998.25,149.99,247.0,9.24,-7.545,-0.9918,0.0,0.0,0.0,0.0,-7.843334255,0.0,22,0.0,,,0, true
64,64,1017672,42.0,unknown,suburban,yes,True,8,2,440,True,29.99,A, false,True,140.88,905.5,50.0,242.0,0.2,1.39,0.4544,175.37,35.0,3.33,3.899830442,-10.39233499,4.33,27,0.0,,,0, false
65,65,1087627,,unknown,unknown,unknown,False,1,2,48,True,149.99,E, true,False,223.41,3096.0,89.99,567.75,0.0,15.88,1.4609999999999999,1146.14,268.33,155.0,1.016068645,-19.44331177,41.0,10,16.67,,,0, false
66,66,1092530,,unknown,unknown,unknown,False,1,1,190,True,,C, true,False,28.74,766.0,30.0,1.25,3.51,-15.32,-1.8546,69.75,44.67,8.33,0.37055814,6.618183347,15.67,6,20.0,,,0, true
67,67,1069407,46.0,professional,rural,yes,True,7,1,324,True,,E, false,True,27.48,488.75,40.03,0.0,0.0,-9.775,-0.5496,81.39,10.0,0.67,1.476190476,1.924286366,4.0,11,10.0,,,3, true
68,68,1018505,30.0,unknown,suburban,yes,False,7,1,756,True,,A, false,True,31.99,113.0,29.99,5.0,0.0,-0.9,-0.04,12.4,4.67,0.67,2.51,31.992679499999998,3.67,25,0.0,,,0, true
69,69,1006406,54.0,crafts,suburban,no,False,5,5,405,True,149.99,D, false,True,35.78,376.0,24.99,28.5,0.0,0.32,-0.2158,122.42,13.33,5.33,0.643344173,0.854112271,1.67,35,1.0,,,0, true
70,70,1062920,30.0,unknown,unknown,unknown,False,4,2,115,True,79.99,D, false,True,58.0,145.5,25.07,56.25,0.0,-1.75,-0.5602,45.12,14.33,0.0,1.113902439,-4.1031442380000005,3.33,12,0.0,,,0, false
71,71,1040701,38.0,professional,unknown,yes,True,8,1,541,True,,B, false,True,41.47,1727.25,41.28,7.0,0.0,4.495,-0.0296,53.92,45.0,2.33,0.399852145,-4.881077795,25.0,18,24.67,,,0, false
72,72,1022385,34.0,unknown,unknown,unknown,False,3,3,120,True,29.99,E, false,True,117.53,2054.0,75.0,120.0,0.0,5.94,0.9024,972.46,51.0,78.0,1.0482368420000001,20.30770413,25.33,21,4.33,,,0, true
73,73,1097359,,unknown,town,unknown,False,1,2,18,True,199.99,E, true,False,80.73,736.0,69.99,53.25,6.74,5.08,0.2532,44.65,6.33,0.33,2.974358974,-2.349248348,5.67,7,0.0,,,0, true
74,74,1035195,38.0,unknown,unknown,yes,False,5,3,143,True,29.99,B, false,True,77.44,595.5,57.51,46.0,0.29,-9.03,-0.349,175.96,6.33,0.67,1.152135922,5.118697572,5.33,22,8.67,,,0, true
75,75,1019207,28.0,unknown,unknown,unknown,False,2,6,181,True,199.99,E, true,True,87.23,1396.75,79.99,0.75,0.0,-0.895,-0.125,421.08,142.0,59.33,0.899102008,0.898806,13.0,23,5.0,,,0, false
76,76,1063906,30.0,unknown,unknown,no,False,10,1,297,True,,E, false,True,38.77,604.5,44.99,0.0,0.0,-1.05,0.1026,20.52,15.67,0.0,0.875,6.847379663,3.0,10,2.33,,,0, true
77,77,1063510,,unknown,unknown,unknown,False,1,2,119,True,59.99,G, true,False,41.5,327.5,39.99,3.75,0.15,3.91,-0.1128,54.87,34.0,22.67,2.394715111,10.09283825,31.67,12,2.33,,,0, true
78,78,1032473,,unknown,unknown,unknown,False,1,2,650,True,79.99,B, true,False,68.3,667.0,44.99,83.75,3.25,1.36,-0.19,252.37,30.67,10.33,1.383375,-18.71526081,1.0,25,0.0,,,0, true
79,79,1022232,,unknown,town,unknown,False,1,2,610,True,29.99,B, true,False,35.42,106.75,29.99,13.0,0.88,0.965,0.1364,0.0,0.67,0.0,4.278333333,-7.8229019079999995,0.0,25,0.0,,,0, true
80,80,1061527,,unknown,unknown,unknown,False,7,5,139,True,29.99,E, true,False,176.04,2861.75,94.99,232.25,0.0,-16.455,-1.4234,899.48,50.0,52.33,0.857295765,-7.861799054,171.67,10,10.0,,,0, false
81,81,1072650,,unknown,unknown,unknown,False,1,1,241,True,,G, true,False,81.75,1179.0,84.99,21.0,0.59,-11.72,-0.1196,381.62,13.67,12.33,1.427899016,1.4941794130000001,34.0,8,2.67,,,0, false
82,82,1050067,26.0,unknown,suburban,unknown,False,8,1,453,True,,C, true,False,50.49,625.75,59.99,0.0,0.0,-1.495,0.01,75.77,33.0,11.33,3.138402138,-23.78763207,9.0,15,0.0,,,0, true
83,83,1094498,,unknown,unknown,unknown,False,1,1,205,True,,E, true,False,59.72,422.75,69.99,0.0,0.0,0.325,0.005,75.09,36.0,9.33,2.433928965,-14.38311084,5.67,7,1.67,,,0, true
84,84,1048095,26.0,unknown,town,unknown,True,6,3,83,True,149.99,D, false,True,150.53,941.75,99.47,0.0,0.0,3.125,-1.1514,341.26,60.33,15.33,2.891920142,-5.741314339,19.67,13,1.67,,,1, false
85,85,1077922,36.0,unknown,unknown,unknown,False,4,1,325,True,,E, false,True,110.41,1053.75,62.61,111.75,5.68,12.345,0.4196,289.57,7.0,4.0,2.3070543669999997,-4.130327051,13.33,11,3.33,,,0, false
86,86,1019301,62.0,unknown,unknown,unknown,False,2,1,795,True,,B, false,True,17.24,9.25,16.99,0.25,0.16,-0.025,0.0078,0.89,0.67,0.33,0.666666667,5.005405183,0.0,27,0.0,,,0, false
87,87,1056853,46.0,professional,suburban,no,True,7,1,445,True,,B, false,True,49.99,167.5,49.99,0.0,0.0,-0.39,,1.37,7.67,0.33,2.203888889,-2.4400552330000003,15.0,15,0.0,,,0, false
88,88,1045708,26.0,unknown,suburban,no,False,7,4,101,True,149.99,B, false,True,93.79,1432.5,63.2,72.75,1.03,0.19,0.5694,503.48,47.0,16.33,1.329787234,-8.688180999,8.33,16,2.0,,,0, false
89,89,1009711,52.0,unknown,town,yes,True,7,1,1049,False,,A, false,True,53.24,342.75,37.99,37.5,0.0,1.145,0.255,52.8,11.67,1.33,2.565353509,-2.03515548,4.33,35,1.33,,,0, false
90,90,1080700,40.0,clerical,unknown,unknown,False,6,1,376,True,,D, false,True,82.06,602.0,44.99,122.75,0.1,0.34,0.1614,169.18,40.67,3.0,1.9739169369999998,-7.111229166,14.33,13,0.67,,,0, true
91,91,1029060,30.0,unknown,suburban,yes,False,7,1,638,True,,B, false,True,42.19,390.25,30.0,31.0,0.1,0.655,0.1528,144.73,28.67,14.33,5.242272727,1.513659509,4.67,21,0.0,,,0, false
92,92,1016591,28.0,unknown,unknown,yes,False,7,1,781,True,,B, false,True,25.24,46.75,24.99,0.0,0.0,0.005,0.0148,3.06,3.67,0.33,1.1945866859999998,-1.86373584,0.33,26,0.0,,,2, true
93,93,1018697,30.0,unknown,town,unknown,False,7,1,692,False,,B, false,True,63.26,573.75,72.49,12.0,0.0,1.285,0.1204,153.98,9.0,8.33,2.098901099,-18.21503574,3.0,23,0.0,,,0, false
94,94,1066318,,unknown,rural,unknown,False,8,1,392,True,,C, false,True,36.33,413.0,40.07,10.75,0.0,0.08,0.0796,0.0,0.0,0.0,0.0,-17.49444605,0.0,13,0.0,,,0, true
95,95,1026452,40.0,professional,town,yes,True,8,1,766,True,,B, false,True,95.12,6.5,104.99,0.5,0.0,-0.13,-0.0026,3.67,0.67,0.0,1.734,-0.333692035,0.0,26,0.0,,,0, true
96,96,1039081,30.0,clerical,unknown,no,False,1,3,259,True,59.99,B, true,False,50.09,858.5,59.99,0.25,0.0,-1.61,-0.002,318.11,61.0,33.67,1.6279278380000002,-17.73072079,15.0,20,0.0,,,0, false
97,97,1045158,,unknown,suburban,unknown,False,1,2,101,True,59.99,B, true,False,56.78,518.25,44.99,62.25,0.0,1.795,0.2502,168.13,30.0,0.0,2.0679629630000003,14.07767716,4.33,20,0.0,1.0,1.0,0, true
98,98,1057535,,unknown,unknown,unknown,False,1,2,187,True,149.99,G, true,False,254.5,2026.75,59.99,549.0,0.0,4.005,0.7746,765.45,31.67,139.67,1.251439206,-4.144470942,38.67,15,8.67,,,0, false
99,99,1016025,36.0,unknown,unknown,no,False,7,2,729,True,59.99,A, false,True,84.28,663.0,61.48,16.0,0.0,12.82,0.4892,123.72,10.0,0.33,0.783015873,-7.9267537789999984,7.0,24,4.0,,,0, true
100,100,1068446,,unknown,rural,unknown,False,1,1,330,True,,B, true,False,70.67,119.75,62.99,0.0,16.95,2.545,0.9059999999999999,0.0,0.0,0.0,0.0,0.746185448,0.0,11,0.0,,,0, false
101,101,1007968,,unknown,unknown,unknown,False,1,1,923,True,,E, false,False,129.52,795.0,34.99,201.25,4.55,-5.96,-1.4454,62.42,38.33,3.67,0.815372731,-3.279686368,9.67,30,0.0,,,0, false
102,102,1034496,38.0,professional,unknown,no,False,6,3,318,True,149.99,B, false,True,59.99,284.25,69.99,0.0,0.0,-0.025,,47.24,30.0,7.0,2.219914276,0.45584603,0.67,22,0.0,,,2, true
103,103,1097000,,unknown,unknown,unknown,False,1,1,196,True,,E, true,False,38.59,331.5,44.99,0.0,0.0,-0.97,0.10800000000000001,130.8,22.67,7.33,0.615118918,9.380997621,2.67,7,0.33,,,0, false
104,104,1073334,36.0,unknown,unknown,no,False,8,1,300,True,,B, true,True,43.26,327.0,44.99,17.75,0.32,1.46,0.4168,0.0,0.0,0.0,0.0,12.38420228,0.0,10,0.0,,,0, false
105,105,1035563,54.0,professional,suburban,yes,True,10,1,703,True,,B, false,True,29.99,66.75,29.99,0.0,0.0,0.505,,6.25,6.33,0.0,77.78787879,-15.89629423,4.0,24,0.0,,,0, true
106,106,1066028,,unknown,unknown,unknown,False,1,1,348,True,,F, true,False,37.57,100.5,47.57,0.0,0.0,-0.25,0.0484,0.0,0.0,0.0,0.0,15.71733213,0.0,11,0.0,,,0, true
107,107,1031383,28.0,unknown,unknown,no,False,9,1,676,True,,G, false,True,33.41,122.75,30.0,3.75,1.7,0.145,0.1382,65.18,12.33,2.0,1.111333333,3.536460265,0.67,23,0.0,,,0, false
108,108,1031098,36.0,professional,suburban,no,False,7,1,677,False,,B, false,True,53.49,755.25,59.99,0.0,0.0,2.135,-0.005,6.49,11.0,0.0,1.6067756619999998,-7.117381787,11.67,23,0.0,,,1, true
109,109,1030054,38.0,professional,suburban,yes,True,10,2,448,True,59.99,A, false,True,28.49,0.0,39.99,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-2.18162748,0.0,25,0.0,,,0, true
110,110,1079457,62.0,unknown,suburban,yes,False,6,1,319,True,,B, false,True,10.1,26.5,10.0,0.0,0.1,-0.37,-0.002,4.3,0.0,0.0,2.492537313,31.693224400000002,0.0,11,0.0,,,0, false
111,111,1027194,56.0,self-employed,unknown,no,False,7,1,698,False,,B, false,True,10.96,121.75,10.0,2.75,0.0,0.725,-0.0192,19.34,6.67,8.33,3.155576382,-1.306234659,2.33,23,0.0,,,3, true
112,112,1067238,,unknown,unknown,unknown,False,1,2,310,True,29.99,E, true,False,49.99,136.75,59.99,0.0,0.0,-0.855,,18.92,5.67,0.33,1.5748275859999998,-9.698976547000001,2.67,13,0.0,,,0, false
113,113,1016394,72.0,unknown,suburban,yes,True,7,2,218,True,29.99,B, false,True,28.3,317.25,24.99,6.0,0.1,-2.045,-0.0662,21.21,3.33,0.33,0.13407719,12.540417,3.33,26,0.0,,,0, true
114,114,1000711,50.0,unknown,suburban,yes,True,7,1,1476,False,,E, false,True,59.99,63.25,59.99,0.0,0.0,-0.025,,4.86,4.67,0.67,1.904162633,-4.13888127,1.67,49,1.0,,,0, false
115,115,1044669,60.0,unknown,suburban,yes,True,10,1,441,False,,A, false,True,44.75,195.25,29.99,34.75,0.0,-3.905,-0.3252,36.86,7.0,0.33,2.052250388,-9.330134245,0.67,15,0.33,,,0, true
116,116,1047822,,unknown,town,unknown,False,1,1,579,True,,B, true,False,34.99,125.75,44.99,0.0,0.0,-1.135,,0.0,0.33,0.0,1.400960384,10.42808503,0.0,20,0.0,,,0, false
117,117,1003172,60.0,professional,suburban,yes,False,9,3,66,True,79.99,A, false,True,142.63,1811.25,54.98,321.75,0.0,-0.025,0.3134,683.97,97.0,36.67,1.068217822,-0.023793877999999997,30.67,42,2.0,,,0, false
118,118,1054037,48.0,unknown,unknown,no,False,3,1,357,True,,C, false,False,77.19,1181.75,69.99,55.25,0.0,8.665,0.442,74.48,42.67,2.33,0.8783750909999999,-5.936271802,102.0,12,0.0,,,0, true
