Feature,Customer ID,Age,Occupation,Region Type,Marriage Status,Has Children,Income,Number of Handsets,Handset Age,Has Smart Phone,Current Handset Price,Credit Rating,Is Homeowner,Credit Card On Account,Average Bill Cost,Average Minutes Used,Average Recurring Charge,Average Over Bundle Mins,Average No. Roaming Calls,Call Mins Change %,Bill Amount Change %,Average Received Minutes,Average No. Outgoing Calls,Average No. Incoming Calls,Peak:OffPeak,Peak:OffPeak Change %,Average No. Dropped Calls,Lifetime (months customer),No. Customer Care Calls Last Month,No. Retention Offers Accepted,Churn (Customer Left)
633,1098537,52.0,unknown,suburban,unknown,False,10.0,1,1091,False,,A, false,True,5.0,0.0,5.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,16.60984421,0.0,36,0.0,1.0, true
636,1024250,54.0,clerical,suburban,no,True,4.0,1,685,True,,A, false,True,10.0,0.75,10.0,0.0,0.0,-0.015,,0.0,0.0,0.0,0.0,2.368693148,0.0,23,0.0,, false
652,1046408,26.0,unknown,unknown,no,False,8.0,1,487,True,,C, false,True,37.31,204.5,47.06,0.0,0.0,0.23,0.0132,102.09,10.0,1.67,2.3287057769999997,4.01199058,5.0,16,0.67,, true
669,1030274,32.0,unknown,unknown,yes,True,9.0,1,634,True,,E, false,True,25.59,0.0,28.01,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,13.09220248,0.33,21,0.0,, true
686,1043448,50.0,homemaker,unknown,no,False,6.0,1,622,True,,D, true,False,62.98,624.5,59.99,0.0,9.99,-12.49,-0.1998,424.88,7.67,0.67,0.382592593,-3.734366236,6.0,21,0.0,, true
688,1010401,42.0,unknown,suburban,yes,True,9.0,3,545,True,59.99,A, false,True,50.24,158.25,59.99,0.0,0.0,1.515,-0.005,39.79,5.67,2.33,0.5669656670000001,-19.84389337,1.33,34,0.33,, false
711,1013520,50.0,unknown,suburban,yes,False,,1,460,True,,A, false,True,33.25,214.25,39.99,2.25,0.0,2.095,0.0572,10.88,7.0,1.0,1.8368794330000002,-5.284935891,1.67,32,0.33,1.0, true
757,1056179,,unknown,unknown,unknown,False,2.0,1,403,True,,B, true,False,51.87,278.0,24.43,111.0,0.0,-5.34,-1.0374,40.89,2.67,0.33,1.55922725,-14.24803221,0.33,13,0.67,, true
816,1021333,24.0,professional,suburban,yes,False,8.0,1,832,False,,C, false,True,34.82,11.67,29.99,0.0,4.83,0.0,,0.0,0.0,0.0,1.67,-13.15622081,0.0,28,0.0,, false
836,1019458,,unknown,unknown,unknown,False,2.0,2,365,True,29.99,B, true,False,35.88,37.5,44.99,0.0,0.58,0.35,-0.0178,4.13,3.67,1.0,0.434159061,-2.371963385,1.67,23,0.0,1.0, true
856,1010667,26.0,unknown,unknown,no,False,6.0,1,852,True,,A, false,False,53.43,180.5,29.99,65.5,0.0,-3.61,-0.4688,3.58,13.67,0.0,2.145625,-11.4774186,2.67,28,0.0,1.0, true
877,1043460,,unknown,suburban,no,False,5.0,1,622,True,,F, true,False,58.6,420.75,49.99,0.0,0.0,0.765,0.3258,22.29,5.0,0.0,1.8540625,11.65318143,5.33,21,0.0,1.0, true
940,1099160,50.0,unknown,unknown,no,False,9.0,2,717,True,29.99,C, false,True,24.24,15.25,24.24,0.0,0.0,-0.125,0.115,0.0,0.33,0.0,0.28479657399999997,18.52878534,10.0,31,0.0,1.0, false
942,1043989,42.0,unknown,town,yes,True,8.0,2,16,True,149.99,B, false,True,54.29,278.0,45.0,22.75,0.0,2.32,0.2024,50.09,23.33,6.67,1.68520391,9.02185878,9.33,19,1.0,1.0, false
949,1012510,56.0,unknown,suburban,yes,False,,2,177,True,29.99,A, false,True,37.29,664.0,29.7,87.5,0.0,0.7,0.141,231.72,49.67,14.67,4.21578583,10.83852808,4.67,30,2.67,1.0, false
969,1063627,,unknown,unknown,unknown,False,2.0,1,299,False,,G, true,False,33.64,489.0,22.49,26.25,0.0,-1.74,-0.5378,208.79,82.33,23.33,1.097087379,-1.319420866,6.0,10,2.67,, false
