Feature,Customer ID,Age,Occupation,Region Type,Marriage Status,Has Children,Income,Number of Handsets,Handset Age,Has Smart Phone,Current Handset Price,Credit Rating,Is Homeowner,Credit Card On Account,Average Bill Cost,Average Minutes Used,Average Recurring Charge,Average Over Bundle Mins,Average No. Roaming Calls,Call Mins Change %,Bill Amount Change %,Average Received Minutes,Average No. Outgoing Calls,Average No. Incoming Calls,Peak:OffPeak,Peak:OffPeak Change %,Average No. Dropped Calls,Lifetime (months customer),No. Customer Care Calls Last Month,Number of Retention Calls,No. Retention Offers Accepted,No. New Frequent Numbers,Churn (Customer Left)
10,1042712,58.0,unknown,unknown,no,true,6,1,460,true,,E, false,true,33.26,267.5,14.52,40.0,0.0,-5.35,-0.6652,15.33,9.0,0.0,1.3665,-3.590747776,4.67,15,0.67,,,0, false
11,1003081,38.0,unknown,suburban,no,false,8,2,380,true,29.99,A, false,true,51.35,291.0,29.99,0.0,3.16,0.16,0.0232,38.15,9.0,0.67,2.7769149310000003,-4.411495555,7.67,42,0.0,,,0, false
12,1054954,,unknown,unknown,unknown,false,0,2,182,true,59.99,D, true,false,34.39,366.5,34.39,0.0,0.0,2.09,0.112,79.33,8.67,0.67,1.129369225,3.436159637,2.67,16,0.67,,,0, false
13,1075715,26.0,unknown,unknown,no,false,4,1,288,true,,C, false,true,59.53,425.25,49.99,16.75,0.52,1.155,-0.1108,125.35,9.67,2.67,1.07963897,-22.63691945,10.33,9,0.0,,,0, true
14,1082107,42.0,professional,suburban,unknown,true,9,1,311,true,,B, false,true,48.56,258.75,44.99,35.75,1.06,5.485,0.8014,43.79,3.0,0.0,2.91448628,-17.08016714,3.67,11,0.0,,,0, true
15,1098775,22.0,unknown,suburban,no,false,7,1,1060,true,,G, false,true,58.06,474.75,30.0,78.75,0.0,-1.115,-0.5262,115.86,42.0,16.33,1.060636364,-2.99296177,6.33,35,0.0,1.0,,0, false
16,1074500,42.0,unknown,suburban,yes,false,4,2,215,true,79.99,B, false,false,61.42,82.5,59.99,4.75,0.0,-0.13,0.0854,0.42,23.33,0.67,1.642742367,-8.786890758,1.0,12,0.0,,,0, false
17,1028485,46.0,professional,unknown,no,false,2,4,118,true,9.99,C, false,true,33.01,249.5,33.71,0.0,0.0,-0.79,-0.0404,3.51,6.33,0.33,0.680410959,3.670368257,8.67,19,5.0,1.0,,0, true
18,1018554,26.0,unknown,unknown,no,false,5,2,349,true,29.99,A, false,true,44.07,99.75,27.32,0.0,16.44,-0.655,-0.2774,8.9,4.0,1.67,10.77844311,8.788531357,1.33,23,0.0,,,0, true
19,1040707,,unknown,unknown,unknown,false,0,2,411,true,149.99,C, true,false,10.0,0.0,10.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-15.57588206,0.0,22,0.0,,,0, true
20,1033121,50.0,unknown,suburban,yes,false,9,1,731,true,,A, false,true,55.17,193.75,42.49,48.75,0.5,5.785,0.7609999999999999,11.87,13.0,1.67,1.293326436,3.16451584,0.33,25,0.67,,,0, true
21,1094948,36.0,unknown,unknown,unknown,true,3,1,195,true,,C, false,false,131.14,761.25,44.99,235.5,0.71,-7.425,-1.9032,255.72,71.0,20.67,1.436018491,-3.0397103860000003,8.33,7,0.0,,,0, false
22,1025827,48.0,professional,suburban,no,true,7,3,130,true,9.99,C, false,true,54.53,499.5,44.99,38.0,0.0,-0.41,-0.266,82.52,29.67,14.0,0.8062744270000001,12.02808868,8.33,26,0.0,,,3, false
23,1023986,34.0,unknown,unknown,unknown,false,9,7,102,true,129.99,B, true,false,46.99,839.5,49.99,15.75,0.0,-9.35,-0.104,234.54,41.0,4.33,0.8975221959999999,-10.31402112,11.33,27,22.0,,,0, false
24,1029483,32.0,unknown,unknown,unknown,false,7,3,71,true,29.99,G, false,true,36.29,269.25,30.0,9.0,1.66,-0.205,-0.1258,39.37,30.33,0.0,1.0,16.57528601,18.0,21,0.33,,,0, true
25,1047730,46.0,unknown,suburban,unknown,false,8,2,263,true,149.99,B, true,false,116.53,1458.75,84.99,69.25,0.0,-7.315,-0.3118,470.85,42.67,12.33,0.931317568,-8.780781498,36.0,14,0.0,,,0, true
26,1021410,34.0,unknown,suburban,unknown,false,7,1,830,true,,C, true,true,220.55,1522.75,62.7,413.5,0.0,-1.875,-1.6946,329.9,88.0,17.0,3.710648377,-10.37281774,70.33,28,0.67,,,0, false
27,1053535,58.0,unknown,unknown,unknown,false,6,1,361,true,,B, false,true,30.26,112.5,39.99,0.0,0.0,0.55,-0.0054,0.49,1.0,0.0,4.055292259,-9.8241264,1.33,12,0.67,,,0, false
28,1008901,36.0,clerical,suburban,unknown,false,6,3,645,false,29.99,C, false,true,30.0,170.25,30.0,0.0,0.0,2.215,,0.0,0.33,0.0,2.592087312,-24.86714482,1.0,32,0.0,,,0, true
29,1074297,36.0,professional,unknown,no,false,3,1,233,true,,B, false,true,35.55,286.0,44.99,0.0,0.0,0.74,0.0086,0.0,0.0,0.0,0.0,-2.579869112,0.0,8,0.0,,,0, false
30,1075370,,unknown,unknown,unknown,false,0,1,290,true,,C, true,false,71.07,1825.75,48.83,77.75,0.0,-16.875,-0.5416,737.34,19.0,9.33,0.5034375,-14.66471093,17.0,10,6.67,,,0, false
31,1079442,,unknown,unknown,no,false,7,1,273,true,,B, false,true,45.65,1386.25,69.87,0.0,0.0,-10.465,0.2868,716.59,94.0,46.33,0.529515864,5.044198139,15.0,9,0.67,1.0,1.0,0, false
32,1066353,,unknown,suburban,unknown,false,0,2,82,true,149.99,C, true,false,64.39,1397.5,69.99,34.75,0.0,-1.89,0.316,524.31,67.33,27.67,0.760630522,10.19963564,7.33,15,8.33,,,0, true
33,1077394,44.0,unknown,town,no,false,6,1,327,true,,B, false,false,10.0,228.5,10.0,0.0,0.0,-0.03,,12.91,9.67,1.0,6.655880032000001,-2.557707031,10.0,11,0.0,,,0, true
34,1038870,,unknown,unknown,unknown,false,0,2,15,true,59.99,B, true,false,50.24,1112.75,59.99,0.0,0.0,3.045,0.0148,238.72,44.0,4.0,0.522872309,-14.80253715,14.0,20,2.0,1.0,,0, false
35,1002476,26.0,unknown,unknown,no,false,6,1,1164,true,,A, false,true,54.33,323.25,49.99,12.75,0.0,-1.845,-0.0868,37.11,26.0,5.0,1.045862069,9.072555073,11.33,38,0.0,,,0, true
36,1066860,,unknown,rural,unknown,false,0,2,26,true,9.99,B, true,false,30.43,152.0,39.99,0.5,0.0,1.94,0.0068,12.95,13.0,2.0,2.032956222,2.2625224630000003,8.33,13,0.33,,,0, false
37,1031056,48.0,crafts,unknown,yes,false,6,1,631,true,,B, false,true,78.04,490.75,30.0,137.25,0.0,-1.975,-0.7298,158.62,4.0,0.0,22.7695078,-8.605039097,17.33,21,0.33,,,0, false
38,1023867,40.0,professional,suburban,no,false,7,1,628,true,,B, false,true,91.75,285.0,29.99,169.5,0.17,3.84,1.1402,17.16,9.67,0.0,6.370101597000001,-9.487002962,2.0,21,0.0,,,0, true
39,1076462,,unknown,unknown,unknown,false,0,2,35,true,39.99,C, true,false,37.44,38.0,48.33,0.0,0.0,1.08,0.131,1.88,1.33,0.0,0.586349535,-6.370563743,1.0,7,1.33,,,0, false
40,1074911,66.0,professional,suburban,yes,false,6,1,338,true,,D, false,true,34.6,211.0,39.99,8.75,0.0,-4.22,-0.0922,53.63,5.33,1.67,1.23914017,8.096961986,14.0,12,0.0,,,0, true
41,1007826,30.0,unknown,town,unknown,true,6,1,1096,false,,A, false,true,35.79,224.5,30.0,14.0,0.0,0.63,-0.1098,130.11,1.0,1.0,1.846648301,-15.12446843,0.67,37,0.0,,,3, true
42,1062169,,unknown,unknown,unknown,false,0,1,477,true,,E, true,false,64.52,677.75,59.99,13.0,0.93,5.485,0.13,120.85,25.33,1.67,4.231837342,4.899467216000001,7.33,16,0.0,,,0, true
43,1053571,,unknown,suburban,unknown,false,0,2,270,true,149.99,D, true,false,161.55,1939.0,67.62,253.5,0.0,-13.46,-1.6464,809.12,124.67,49.33,0.7602626259999999,23.62841938,42.33,18,3.0,,,0, false
44,1084284,26.0,unknown,unknown,no,false,6,1,198,true,,B, true,true,66.44,440.0,54.99,0.0,28.32,-7.26,-0.4134,9.17,5.0,0.0,1.537307837,-3.475987486,18.67,7,3.33,,,2, false
45,1056204,,unknown,rural,unknown,false,0,1,449,true,,C, true,false,89.13,147.25,29.83,51.75,2.19,-1.365,-0.7428,12.11,0.0,0.0,4.334,-1.5690238,5.33,15,0.0,1.0,1.0,0, true
46,1025168,36.0,professional,town,yes,false,6,4,41,true,199.99,B, false,true,90.81,786.5,94.99,0.0,0.1,7.63,-0.0166,55.55,42.33,9.33,1.183131773,-9.517786762,17.33,24,0.33,,,0, true
47,1020095,,unknown,suburban,unknown,false,0,1,742,true,,B, true,false,61.3,324.0,53.77,26.5,6.93,-4.38,-0.3954,40.61,8.0,0.33,2.1648170980000003,-3.303743213,12.33,24,1.67,,,0, false
48,1077357,36.0,homemaker,suburban,yes,true,6,1,281,true,,B, false,true,43.6,272.0,47.49,16.75,0.0,-0.74,-0.2722,12.91,2.33,0.0,7.349206349,3.854065721,7.33,9,0.0,,,0, false
49,1028011,,unknown,unknown,unknown,false,0,1,691,false,,B, true,false,37.03,392.0,44.99,6.25,1.6,1.42,0.2272,58.9,7.67,4.33,1.314722222,-11.65799818,8.0,23,2.0,,,0, true
50,1040887,42.0,professional,town,yes,false,6,3,14,true,149.99,B, false,true,30.82,323.0,37.49,1.25,0.39,-0.8,-0.001,34.57,23.33,8.67,1.155448469,3.408786168,4.0,20,2.33,,,0, false
51,1047848,,unknown,suburban,unknown,false,0,1,410,true,,D, true,false,73.96,942.25,59.99,83.25,0.0,-4.805,-0.5096,144.23,41.67,8.67,1.322486074,15.55093339,15.67,14,0.67,,,0, true
52,1095925,,unknown,town,unknown,false,3,1,232,true,,B, false,false,36.79,525.75,44.99,4.5,0.0,-2.715,-0.036000000000000004,86.2,9.0,0.33,0.960784314,-0.221513548,7.67,8,24.0,,,0, false
53,1012750,,unknown,suburban,unknown,false,0,11,343,false,9.99,D, true,false,119.57,1222.0,99.99,75.0,0.59,-0.5,-0.3916,344.59,76.33,40.67,2.557471264,2.353066793,16.67,32,6.0,,,0, false
54,1098411,54.0,unknown,unknown,unknown,false,5,3,111,true,199.99,D, false,false,20.24,123.25,16.0,8.0,0.0,-0.425,-0.0278,0.0,0.0,0.0,0.0,0.6701620420000001,0.33,39,0.0,,,2, false
55,1098454,28.0,unknown,unknown,unknown,false,8,2,533,true,29.99,C, false,true,210.71,2421.25,151.24,206.0,0.17,-0.445,-0.9846,670.68,168.33,2.33,2.594816514,7.031799029,44.33,41,0.33,,,0, false
56,1066497,32.0,unknown,unknown,yes,false,4,2,197,true,129.99,E, false,true,72.04,815.0,39.99,100.5,0.91,2.66,0.7416,413.75,41.67,43.67,0.61427673,-8.544309052000001,5.0,9,0.0,,,0, false
57,1052160,,unknown,unknown,no,false,7,1,435,true,,B, false,true,106.69,510.75,99.99,0.0,0.0,0.625,-0.051,196.18,24.0,3.33,0.666666667,5.857865137999999,7.33,14,0.0,,,0, false
58,1042247,26.0,unknown,suburban,no,false,7,2,18,true,79.99,D, false,true,51.33,862.5,64.99,1.25,0.0,0.07,-0.0112,295.62,41.67,21.0,0.443354308,-3.831626435,18.33,15,4.0,,,3, false
59,1026883,22.0,unknown,unknown,no,false,6,1,702,false,,B, false,true,45.74,255.5,45.0,0.0,0.0,-1.91,-0.0148,72.57,29.67,13.67,4.558718861,-7.120334902000001,1.0,24,0.0,,,0, false
60,1058461,54.0,professional,suburban,yes,false,3,2,187,true,149.99,B, false,true,22.49,234.0,29.99,0.0,0.0,-0.54,-0.4498,42.74,13.67,3.33,1.702202362,7.433763201,7.0,15,0.0,,,0, true
61,1006355,52.0,professional,unknown,yes,true,6,1,949,true,,A, false,true,36.27,150.0,30.0,17.25,0.0,-1.9,-0.1254,7.1,9.0,1.67,0.838965517,-17.61855775,3.33,31,0.0,,,2, true
62,1095436,,unknown,unknown,no,false,7,1,185,true,,B, false,false,35.19,535.0,44.99,0.5,0.0,-1.6,-0.004,158.63,59.0,35.33,0.7913669059999999,27.50619133,6.33,7,12.0,,,0, false
63,1039801,50.0,unknown,suburban,no,false,7,4,439,true,199.99,B, false,true,229.35,1998.25,149.99,247.0,9.24,-7.545,-0.9918,0.0,0.0,0.0,0.0,-7.843334255,0.0,22,0.0,,,0, true
64,1017672,42.0,unknown,suburban,yes,true,7,2,440,true,29.99,A, false,true,140.88,905.5,50.0,242.0,0.2,1.39,0.4544,175.37,35.0,3.33,3.899830442,-10.39233499,4.33,27,0.0,,,0, false
65,1087627,,unknown,unknown,unknown,false,0,2,48,true,149.99,E, true,false,223.41,3096.0,89.99,567.75,0.0,15.88,1.461,1146.14,268.33,155.0,1.016068645,-19.44331177,41.0,10,16.67,,,0, false
66,1092530,,unknown,unknown,unknown,false,0,1,190,true,,C, true,false,28.74,766.0,30.0,1.25,3.51,-15.32,-1.8546,69.75,44.67,8.33,0.37055814,6.618183347,15.67,6,20.0,,,0, true
67,1069407,46.0,professional,rural,yes,true,6,1,324,true,,E, false,true,27.48,488.75,40.03,0.0,0.0,-9.775,-0.5496,81.39,10.0,0.67,1.476190476,1.924286366,4.0,11,10.0,,,3, true
68,1018505,30.0,unknown,suburban,yes,false,6,1,756,true,,A, false,true,31.99,113.0,29.99,5.0,0.0,-0.9,-0.04,12.4,4.67,0.67,2.51,31.9926795,3.67,25,0.0,,,0, true
69,1006406,54.0,crafts,suburban,no,false,4,5,405,true,149.99,D, false,true,35.78,376.0,24.99,28.5,0.0,0.32,-0.2158,122.42,13.33,5.33,0.643344173,0.854112271,1.67,35,1.0,,,0, true
70,1062920,30.0,unknown,unknown,unknown,false,3,2,115,true,79.99,D, false,true,58.0,145.5,25.07,56.25,0.0,-1.75,-0.5602,45.12,14.33,0.0,1.113902439,-4.1031442380000005,3.33,12,0.0,,,0, false
71,1040701,38.0,professional,unknown,yes,true,7,1,541,true,,B, false,true,41.47,1727.25,41.28,7.0,0.0,4.495,-0.0296,53.92,45.0,2.33,0.399852145,-4.881077795,25.0,18,24.67,,,0, false
72,1022385,34.0,unknown,unknown,unknown,false,2,3,120,true,29.99,E, false,true,117.53,2054.0,75.0,120.0,0.0,5.94,0.9024,972.46,51.0,78.0,1.048236842,20.30770413,25.33,21,4.33,,,0, true
73,1097359,,unknown,town,unknown,false,0,2,18,true,199.99,E, true,false,80.73,736.0,69.99,53.25,6.74,5.08,0.2532,44.65,6.33,0.33,2.974358974,-2.349248348,5.67,7,0.0,,,0, true
74,1035195,38.0,unknown,unknown,yes,false,4,3,143,true,29.99,B, false,true,77.44,595.5,57.51,46.0,0.29,-9.03,-0.349,175.96,6.33,0.67,1.152135922,5.118697572,5.33,22,8.67,,,0, true
75,1019207,28.0,unknown,unknown,unknown,false,1,6,181,true,199.99,E, true,true,87.23,1396.75,79.99,0.75,0.0,-0.895,-0.125,421.08,142.0,59.33,0.899102008,0.898806,13.0,23,5.0,,,0, false
76,1063906,30.0,unknown,unknown,no,false,9,1,297,true,,E, false,true,38.77,604.5,44.99,0.0,0.0,-1.05,0.1026,20.52,15.67,0.0,0.875,6.847379663,3.0,10,2.33,,,0, true
77,1063510,,unknown,unknown,unknown,false,0,2,119,true,59.99,G, true,false,41.5,327.5,39.99,3.75,0.15,3.91,-0.1128,54.87,34.0,22.67,2.394715111,10.09283825,31.67,12,2.33,,,0, true
78,1032473,,unknown,unknown,unknown,false,0,2,650,true,79.99,B, true,false,68.3,667.0,44.99,83.75,3.25,1.36,-0.19,252.37,30.67,10.33,1.383375,-18.71526081,1.0,25,0.0,,,0, true
79,1022232,,unknown,town,unknown,false,0,2,610,true,29.99,B, true,false,35.42,106.75,29.99,13.0,0.88,0.965,0.1364,0.0,0.67,0.0,4.278333333,-7.822901907999999,0.0,25,0.0,,,0, true
80,1061527,,unknown,unknown,unknown,false,6,5,139,true,29.99,E, true,false,176.04,2861.75,94.99,232.25,0.0,-16.455,-1.4234,899.48,50.0,52.33,0.857295765,-7.861799054,171.67,10,10.0,,,0, false
81,1072650,,unknown,unknown,unknown,false,0,1,241,true,,G, true,false,81.75,1179.0,84.99,21.0,0.59,-11.72,-0.1196,381.62,13.67,12.33,1.427899016,1.494179413,34.0,8,2.67,,,0, false
82,1050067,26.0,unknown,suburban,unknown,false,7,1,453,true,,C, true,false,50.49,625.75,59.99,0.0,0.0,-1.495,0.01,75.77,33.0,11.33,3.138402138,-23.78763207,9.0,15,0.0,,,0, true
83,1094498,,unknown,unknown,unknown,false,0,1,205,true,,E, true,false,59.72,422.75,69.99,0.0,0.0,0.325,0.005,75.09,36.0,9.33,2.433928965,-14.38311084,5.67,7,1.67,,,0, true
84,1048095,26.0,unknown,town,unknown,true,5,3,83,true,149.99,D, false,true,150.53,941.75,99.47,0.0,0.0,3.125,-1.1514,341.26,60.33,15.33,2.891920142,-5.741314339,19.67,13,1.67,,,1, false
85,1077922,36.0,unknown,unknown,unknown,false,3,1,325,true,,E, false,true,110.41,1053.75,62.61,111.75,5.68,12.345,0.4196,289.57,7.0,4.0,2.307054367,-4.130327051,13.33,11,3.33,,,0, false
86,1019301,62.0,unknown,unknown,unknown,false,1,1,795,true,,B, false,true,17.24,9.25,16.99,0.25,0.16,-0.025,0.0078,0.89,0.67,0.33,0.666666667,5.005405183,0.0,27,0.0,,,0, false
87,1056853,46.0,professional,suburban,no,true,6,1,445,true,,B, false,true,49.99,167.5,49.99,0.0,0.0,-0.39,,1.37,7.67,0.33,2.203888889,-2.4400552330000003,15.0,15,0.0,,,0, false
88,1045708,26.0,unknown,suburban,no,false,6,4,101,true,149.99,B, false,true,93.79,1432.5,63.2,72.75,1.03,0.19,0.5694,503.48,47.0,16.33,1.329787234,-8.688180999,8.33,16,2.0,,,0, false
89,1009711,52.0,unknown,town,yes,true,6,1,1049,false,,A, false,true,53.24,342.75,37.99,37.5,0.0,1.145,0.255,52.8,11.67,1.33,2.565353509,-2.03515548,4.33,35,1.33,,,0, false
90,1080700,40.0,clerical,unknown,unknown,false,5,1,376,true,,D, false,true,82.06,602.0,44.99,122.75,0.1,0.34,0.1614,169.18,40.67,3.0,1.973916937,-7.111229166,14.33,13,0.67,,,0, true
91,1029060,30.0,unknown,suburban,yes,false,6,1,638,true,,B, false,true,42.19,390.25,30.0,31.0,0.1,0.655,0.1528,144.73,28.67,14.33,5.242272727,1.513659509,4.67,21,0.0,,,0, false
92,1016591,28.0,unknown,unknown,yes,false,6,1,781,true,,B, false,true,25.24,46.75,24.99,0.0,0.0,0.005,0.0148,3.06,3.67,0.33,1.1945866859999998,-1.86373584,0.33,26,0.0,,,2, true
93,1018697,30.0,unknown,town,unknown,false,6,1,692,false,,B, false,true,63.26,573.75,72.49,12.0,0.0,1.285,0.1204,153.98,9.0,8.33,2.098901099,-18.21503574,3.0,23,0.0,,,0, false
94,1066318,,unknown,rural,unknown,false,7,1,392,true,,C, false,true,36.33,413.0,40.07,10.75,0.0,0.08,0.0796,0.0,0.0,0.0,0.0,-17.49444605,0.0,13,0.0,,,0, true
95,1026452,40.0,professional,town,yes,true,7,1,766,true,,B, false,true,95.12,6.5,104.99,0.5,0.0,-0.13,-0.0026,3.67,0.67,0.0,1.734,-0.333692035,0.0,26,0.0,,,0, true
96,1039081,30.0,clerical,unknown,no,false,0,3,259,true,59.99,B, true,false,50.09,858.5,59.99,0.25,0.0,-1.61,-0.002,318.11,61.0,33.67,1.6279278380000002,-17.73072079,15.0,20,0.0,,,0, false
97,1045158,,unknown,suburban,unknown,false,0,2,101,true,59.99,B, true,false,56.78,518.25,44.99,62.25,0.0,1.795,0.2502,168.13,30.0,0.0,2.0679629630000003,14.07767716,4.33,20,0.0,1.0,1.0,0, true
98,1057535,,unknown,unknown,unknown,false,0,2,187,true,149.99,G, true,false,254.5,2026.75,59.99,549.0,0.0,4.005,0.7746,765.45,31.67,139.67,1.251439206,-4.144470942,38.67,15,8.67,,,0, false
99,1016025,36.0,unknown,unknown,no,false,6,2,729,true,59.99,A, false,true,84.28,663.0,61.48,16.0,0.0,12.82,0.4892,123.72,10.0,0.33,0.783015873,-7.9267537789999984,7.0,24,4.0,,,0, true
100,1068446,,unknown,rural,unknown,false,0,1,330,true,,B, true,false,70.67,119.75,62.99,0.0,16.95,2.545,0.906,0.0,0.0,0.0,0.0,0.746185448,0.0,11,0.0,,,0, false
101,1007968,,unknown,unknown,unknown,false,0,1,923,true,,E, false,false,129.52,795.0,34.99,201.25,4.55,-5.96,-1.4454,62.42,38.33,3.67,0.815372731,-3.279686368,9.67,30,0.0,,,0, false
102,1034496,38.0,professional,unknown,no,false,5,3,318,true,149.99,B, false,true,59.99,284.25,69.99,0.0,0.0,-0.025,,47.24,30.0,7.0,2.219914276,0.45584603,0.67,22,0.0,,,2, true
103,1097000,,unknown,unknown,unknown,false,0,1,196,true,,E, true,false,38.59,331.5,44.99,0.0,0.0,-0.97,0.108,130.8,22.67,7.33,0.615118918,9.380997621,2.67,7,0.33,,,0, false
104,1073334,36.0,unknown,unknown,no,false,7,1,300,true,,B, true,true,43.26,327.0,44.99,17.75,0.32,1.46,0.4168,0.0,0.0,0.0,0.0,12.38420228,0.0,10,0.0,,,0, false
105,1035563,54.0,professional,suburban,yes,true,9,1,703,true,,B, false,true,29.99,66.75,29.99,0.0,0.0,0.505,,6.25,6.33,0.0,77.78787879,-15.89629423,4.0,24,0.0,,,0, true
106,1066028,,unknown,unknown,unknown,false,0,1,348,true,,F, true,false,37.57,100.5,47.57,0.0,0.0,-0.25,0.0484,0.0,0.0,0.0,0.0,15.71733213,0.0,11,0.0,,,0, true
107,1031383,28.0,unknown,unknown,no,false,8,1,676,true,,G, false,true,33.41,122.75,30.0,3.75,1.7,0.145,0.1382,65.18,12.33,2.0,1.111333333,3.536460265,0.67,23,0.0,,,0, false
108,1031098,36.0,professional,suburban,no,false,6,1,677,false,,B, false,true,53.49,755.25,59.99,0.0,0.0,2.135,-0.005,6.49,11.0,0.0,1.6067756619999998,-7.117381787,11.67,23,0.0,,,1, true
109,1030054,38.0,professional,suburban,yes,true,9,2,448,true,59.99,A, false,true,28.49,0.0,39.99,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-2.18162748,0.0,25,0.0,,,0, true
110,1079457,62.0,unknown,suburban,yes,false,5,1,319,true,,B, false,true,10.1,26.5,10.0,0.0,0.1,-0.37,-0.002,4.3,0.0,0.0,2.492537313,31.6932244,0.0,11,0.0,,,0, false
111,1027194,56.0,self-employed,unknown,no,false,6,1,698,false,,B, false,true,10.96,121.75,10.0,2.75,0.0,0.725,-0.0192,19.34,6.67,8.33,3.155576382,-1.306234659,2.33,23,0.0,,,3, true
112,1067238,,unknown,unknown,unknown,false,0,2,310,true,29.99,E, true,false,49.99,136.75,59.99,0.0,0.0,-0.855,,18.92,5.67,0.33,1.5748275859999998,-9.698976547000001,2.67,13,0.0,,,0, false
113,1016394,72.0,unknown,suburban,yes,true,6,2,218,true,29.99,B, false,true,28.3,317.25,24.99,6.0,0.1,-2.045,-0.0662,21.21,3.33,0.33,0.13407719,12.540417,3.33,26,0.0,,,0, true
114,1000711,50.0,unknown,suburban,yes,true,6,1,1476,false,,E, false,true,59.99,63.25,59.99,0.0,0.0,-0.025,,4.86,4.67,0.67,1.904162633,-4.13888127,1.67,49,1.0,,,0, false
115,1044669,60.0,unknown,suburban,yes,true,9,1,441,false,,A, false,true,44.75,195.25,29.99,34.75,0.0,-3.905,-0.3252,36.86,7.0,0.33,2.052250388,-9.330134245,0.67,15,0.33,,,0, true
116,1047822,,unknown,town,unknown,false,0,1,579,true,,B, true,false,34.99,125.75,44.99,0.0,0.0,-1.135,,0.0,0.33,0.0,1.400960384,10.42808503,0.0,20,0.0,,,0, false
117,1003172,60.0,professional,suburban,yes,false,8,3,66,true,79.99,A, false,true,142.63,1811.25,54.98,321.75,0.0,-0.025,0.3134,683.97,97.0,36.67,1.068217822,-0.023793878,30.67,42,2.0,,,0, false
118,1054037,48.0,unknown,unknown,no,false,2,1,357,true,,C, false,false,77.19,1181.75,69.99,55.25,0.0,8.665,0.442,74.48,42.67,2.33,0.8783750909999999,-5.936271802,102.0,12,0.0,,,0, true
119,1043126,26.0,unknown,suburban,no,false,6,2,269,true,79.99,B, false,true,22.01,95.25,19.84,0.0,0.0,-1.525,-0.2402,6.18,8.33,0.0,1.431492843,5.902601511,1.67,17,0.0,,,0, false
120,1076289,32.0,unknown,unknown,unknown,false,0,2,95,true,149.99,B, true,false,44.84,954.25,49.99,0.25,0.26,-4.705,-0.0092,116.54,47.67,4.67,0.518358333,-35.79210527,26.0,11,3.0,,,0, true
121,1083086,18.0,unknown,suburban,unknown,false,0,2,308,true,99.99,B, true,false,49.17,510.25,46.68,0.0,16.86,-0.165,-0.2836,41.96,18.33,0.0,1.1,-0.100690598,5.67,11,3.0,,,0, false
